ID GC age w
1 401 111 0 1.38
2 403 111 0 1.12
3 404 211 0 1.35
4 406 211 0 1.12
5 407 212 0 1.11
6 409 112 0 1.02
7 411 112 0 1.01
8 412 112 0 1.23
9 413 211 0 1.01
10 414 211 0 0.99
11 415 211 0 0.93
12 416 212 0 1.01
13 418 211 0 0.94
14 421 111 0 1.22
15 423 111 0 1.1
16 424 212 0 1.46
17 426 211 0 1.23
18 428 211 0 1.19
19 429 111 0 1.62
20 432 211 0 1.52
21 433 111 0 1.19
22 434 211 0 1.63
23 435 211 0 1.04
24 440 111 0 1.19
25 441 211 0 1.4
26 442 211 0 1.41
27 446 211 0 1.41
28 448 111 0 1.06
29 449 112 0 1.08
30 450 111 0 1.21
31 452 211 0 0.9
32 453 212 0 1.09
33 456 212 0 1.21
34 457 212 0 0.71
35 459 111 0 1.26
36 460 111 0 1.4
37 461 212 0 1.52
38 462 211 0 1.07
39 463 111 0 1.25
40 466 111 0 1.09
41 469 111 0 1.03
42 472 211 0 1.28
43 473 211 0 1.14
44 474 111 0 1.15
45 477 211 0 0.63
46 478 211 0 1.13
47 479 211 0 1.14
48 481 111 0 1.18
49 482 111 0 1.25
50 486 211 0 0.92
51 488 211 0 1.24
52 489 212 0 0.94
53 490 212 0 1.27
54 494 112 0 1.25
55 497 211 0 1.31
56 498 211 0 1.07
57 499 111 0 1.91
58 500 111 0 1.47
59 502 111 0 1.28
60 503 111 0 1.44
61 504 211 0 0.85
62 505 211 0 1.3
63 506 211 0 1.65
64 507 111 0 0.8
65 508 111 0 1.28
66 512 111 0 1.04
67 514 211 0 1.53
68 516 111 0 1.19
69 517 111 0 1.15
70 519 111 0 1.38
71 521 111 0 1.24
72 530 111 0 1.4
73 531 111 0 1.52
74 532 111 0 1.03
75 534 111 0 1.32
76 536 111 0 1.04
77 540 211 0 0.73
78 541 211 0 1.31
79 545 121 0 1.44
80 546 121 0 1.39
81 547 121 0 1.5
82 550 221 0 1.83
83 554 221 0 1.7
84 555 221 0 1.16
85 558 122 0 1.18
86 560 222 0 0.9
87 563 222 0 1.11
88 564 221 0 0.8
89 565 222 0 0.83
90 567 121 0 1.18
91 569 121 0 0.9
92 573 221 0 1.2
93 574 221 0 1.38
94 578 121 0 1.35
95 579 121 0 1.57
96 581 122 0 1.29
97 582 121 0 1.68
98 583 221 0 1.54
99 584 222 0 1.58
100 585 222 0 1.36
101 586 222 0 1.46
102 587 222 0 1.56
103 588 222 0 1.45
104 589 121 0 1.29
105 590 121 0 1.23
106 591 122 0 0.98
107 599 122 0 1.11
108 601 122 0 1.3
109 604 122 0 1.16
110 605 122 0 1.27
111 626 122 0 1.13
112 629 122 0 0.98
113 630 222 0 1.32
114 631 221 0 0.97
115 634 221 0 0.97
116 635 221 0 0.93
117 637 121 0 1.29
118 638 121 0 1.25
119 639 121 0 0.93
120 640 221 0 1.16
121 641 221 0 1.21
122 643 121 0 0.86
123 644 221 0 1.04
124 645 221 0 0.78
125 648 121 0 1.43
126 649 121 0 1.05
127 650 121 0 1.31
128 653 221 0 1.24
129 654 221 0 1.05
130 659 121 0 1.3
131 660 121 0 1.28
132 662 221 0 1.62
133 670 222 0 0.89
134 673 222 0 0.92
135 674 221 0 0.7
136 677 121 0 1.13
137 678 121 0 1.25
138 679 121 0 1.37
139 680 221 0 1.4
140 681 222 0 1.35
141 683 121 0 0.83
142 684 121 0 0.91
143 685 121 0 0.83
144 688 121 0 0.74
145 691 221 0 0.8
146 692 221 0 0.92
147 695 121 0 0.97
148 696 121 0 1.18
149 697 121 0 0.87
150 698 121 0 1.2
151 699 121 0 1.39
152 700 121 0 1.32
153 702 221 0 1.11
154 703 221 0 1.47
155 704 221 0 1.09
156 705 221 0 0.95
157 710 121 0 1.07
158 711 121 0 1.05
159 712 121 0 1.44
160 713 221 0 1.37
161 714 221 0 1.35
162 715 221 0 0.7
163 718 121 0 1.14
164 720 121 0 0.92
165 721 121 0 1.44
166 722 221 0 1.27
167 723 221 0 1.41
168 725 221 0 1.08
169 742 121 0 1.07
170 743 121 0 0.81
171 745 221 0 0.82
172 746 221 0 0.92
173 747 221 0 0.84
174 748 221 0 0.95
175 749 121 0 0.72
176 750 221 0 0.8
177 751 222 0 0.69
178 752 221 0 0.93
179 753 121 0 0.76
180 754 221 0 0.53
181 755 221 0 0.55
182 757 132 0 0.98
183 759 132 0 0.68
184 760 231 0 1.04
185 762 231 0 1.01
186 765 232 0 0.93
187 767 131 0 1.12
188 768 231 0 1.09
189 769 231 0 1.09
190 777 131 0 1.27
191 778 131 0 1.4
192 780 231 0 1.62
193 781 232 0 0.94
194 785 131 0 1.07
195 792 232 0 0.88
196 794 232 0 0.94
197 795 232 0 0.98
198 797 131 0 0.84
199 798 231 0 1.28
200 799 231 0 1.05
201 800 231 0 1.08
202 801 231 0 0.9
203 807 132 0 1.16
204 810 131 0 1.11
205 811 132 0 0.79
206 813 231 0 1.37
207 817 131 0 1.09
208 819 131 0 0.81
209 820 131 0 1.26
210 822 131 0 0.85
211 824 231 0 1.09
212 827 131 0 0.94
213 829 131 0 1.16
214 830 131 0 0.88
215 831 231 0 1.04
216 834 231 0 0.85
217 836 231 0 0.85
218 839 131 0 1.22
219 840 131 0 0.98
220 851 131 0 1.36
221 856 231 0 1.37
222 858 131 0 1.31
