"animal" "DIM" "CG" "MY"
"1327" "1032" 5 "32" 22.5
"1328" "1032" 8 "32" 29.8
"1329" "1032" 12 "32" 35.7
"1330" "1032" 15 "32" 36.1
"1331" "1032" 19 "32" 34.6
"1332" "1032" 22 "32" 38.9
"1333" "1032" 26 "32" 36.1
"1334" "1032" 28 "32" 36.3
"1335" "1032" 30 "32" 36.3
"1336" "1032" 33 "32" 36.3
"1337" "1032" 36 "32" 34.3
"1338" "1032" 40 "32" 35
"1339" "1032" 43 "32" 34.1
"1340" "1032" 64 "32" 28.8
"1341" "1032" 68 "32" 32.6
"1342" "1032" 71 "32" 34.1
"1343" "1032" 75 "32" 32.7
"1344" "1032" 78 "32" 30.7
"1345" "1032" 82 "32" 28.6
"1346" "1032" 85 "32" 28.2
"1347" "1032" 89 "32" 30.5
"1348" "1032" 93 "32" 32.3
"1349" "1032" 96 "32" 29.5
"1350" "1032" 99 "32" 24.5
"1351" "1032" 103 "32" 28.3
"1352" "1032" 106 "32" 27.7
"1353" "1032" 110 "32" 24.3
"1354" "1032" 113 "32" 27.6
"1355" "1032" 118 "32" 30.5
"1356" "1032" 120 "32" 29.4
"1357" "1032" 124 "32" 26.8
"1358" "1032" 127 "32" 29
"1359" "1032" 131 "32" 32.9
"1360" "1032" 134 "32" 33.3
"1361" "1032" 138 "32" 28.2
"1362" "1032" 141 "32" 29.4
"1363" "1032" 145 "32" 21.5
"1364" "1032" 148 "32" 21.6
"1365" "1032" 152 "32" 25.8
"1366" "1032" 155 "32" 28.1
"1367" "1032" 159 "32" 30.1
"1368" "1032" 162 "32" 28.5
"1369" "1032" 166 "32" 31.6
"1370" "1032" 169 "32" 26.6
"1371" "1032" 173 "32" 26.3
"1372" "1032" 175 "32" 31.5
"1373" "1032" 181 "32" 29
"1374" "1032" 183 "32" 29.7
"1375" "1032" 187 "32" 31.8
"1376" "1032" 194 "32" 25.6
"1377" "1032" 197 "32" 22.2
"1378" "1032" 201 "32" 24.8
"1379" "1032" 204 "32" 27.9
"1380" "1032" 208 "32" 23.9
"1381" "1032" 211 "32" 30
"1382" "1032" 215 "32" 28.8
"1383" "1032" 218 "32" 25.3
"1384" "1032" 222 "32" 25.7
"1385" "1032" 225 "32" 28
"1386" "1032" 229 "32" 29.9
"1387" "1032" 232 "32" 28.3
"1388" "1032" 236 "32" 27.2
"1389" "1032" 239 "32" 26.2
"1390" "1032" 243 "32" 25.5
"1391" "1032" 246 "32" 27.6
"1392" "1032" 250 "32" 28.4
"1393" "1032" 253 "32" 25.7
"1394" "1032" 257 "32" 22
"1395" "1032" 258 "32" 26.8
"1396" "1032" 264 "32" 25.3
"1397" "1032" 267 "32" 23.7
"1398" "1032" 271 "32" 26.3
"1399" "1032" 274 "32" 25.3
"1400" "1032" 278 "32" 17.2
"1401" "1032" 280 "32" 18.9
"1402" "1032" 285 "32" 24.1
"1403" "1032" 288 "32" 27.4
"1404" "1032" 292 "32" 21.6
"1405" "1032" 295 "32" 24
"1406" "1032" 299 "32" 22.5
"1407" "1032" 302 "32" 18
"1408" "1032" 306 "32" 18.6
"1409" "1032" 310 "32" 22.9
"1410" "1032" 313 "32" 25.2
"1411" "1032" 316 "32" 22
"1412" "1032" 320 "32" 25.3
"1413" "1032" 323 "32" 24.6
"1414" "1032" 327 "32" 22.1
"1415" "1032" 330 "32" 23.7
"1416" "1032" 334 "32" 22.2
"1417" "1032" 337 "32" 21.4
"1418" "1032" 341 "32" 14.3
"1419" "1032" 344 "32" 19.6
"1420" "1032" 348 "32" 19.3
"1421" "1032" 351 "32" 16.6
"1422" "1032" 355 "32" 18.3
"1423" "1032" 358 "32" 17.9
"1424" "1032" 362 "32" 18.9
"1425" "1032" 365 "32" 19.6
"1426" "1032" 369 "32" 18.5
"1427" "1032" 372 "32" 17.7
"1428" "1032" 376 "32" 10
"1429" "1032" 379 "32" 18.1
"1430" "1032" 383 "32" 20.7
"1431" "1032" 386 "32" 17.1
"1432" "1032" 390 "32" 19.4
"1433" "1032" 393 "32" 18.2
"1434" "1032" 397 "32" 14.5
"1435" "1032" 400 "32" 15.8
"1436" "1032" 404 "32" 13.8
"1437" "1032" 407 "32" 12
"1438" "1032" 411 "32" 10.8
"1439" "1032" 414 "32" 12.5
"1440" "1032" 418 "32" 13.6
"1441" "1032" 421 "32" 11.5
"1442" "1032" 425 "32" 14.1
"1443" "1032" 428 "32" 10.3
"1444" "1032" 432 "32" 10.2
"1445" "1032" 435 "32" 13
"1446" "1032" 439 "32" 13
"1447" "1032" 442 "32" 14.2
"1448" "1032" 446 "32" 15.2
"1449" "1032" 449 "32" 14.5
"1450" "1032" 8 "33" 22.5
"1451" "1032" 12 "33" 26.9
"1452" "1032" 14 "33" 27.8
"1453" "1032" 18 "33" 28.6
"1454" "1032" 21 "33" 27.7
"1455" "1032" 25 "33" 26.2
"1456" "1032" 28 "33" 16.6
"1457" "1032" 32 "33" 8.1
"1458" "1032" 46 "33" 6.9
"1459" "1032" 102 "33" 13.3
"1460" "1032" 162 "33" 15.5
"1461" "1032" 165 "33" 15.2
"1462" "1032" 168 "33" 15.4
"1463" "1032" 172 "33" 16.8
"1464" "1032" 175 "33" 18.8
"1465" "1032" 179 "33" 12.3
"1466" "1032" 182 "33" 10.6
"1467" "1032" 186 "33" 20.5
"1468" "1032" 189 "33" 13.6
"1469" "1032" 193 "33" 11.8
"1470" "1032" 196 "33" 15.5
"1471" "1032" 200 "33" 18.7
"1472" "1032" 203 "33" 9.5
"1473" "1032" 207 "33" 11.5
"1474" "1032" 210 "33" 14.7
"1475" "1032" 214 "33" 14.1
"1476" "1032" 217 "33" 16
"1477" "1032" 221 "33" 14.1
"1478" "1032" 224 "33" 14.5
"1479" "1032" 228 "33" 11.7
"1480" "1032" 232 "33" 11.9
"1481" "1033" 34 "31" 13.3
"1482" "1033" 37 "31" 14.7
"1483" "1033" 41 "31" 13.7
"1484" "1033" 44 "31" 15.8
"1485" "1033" 47 "31" 16.1
"1486" "1033" 52 "31" 15.6
"1487" "1033" 55 "31" 15.3
"1488" "1033" 58 "31" 17.6
"1489" "1033" 61 "31" 14.8
"1490" "1033" 65 "31" 11.7
"1491" "1033" 69 "31" 14.3
"1492" "1033" 73 "31" 15.3
"1493" "1033" 75 "31" 14.6
"1494" "1033" 80 "31" 15.2
"1495" "1033" 83 "31" 15
"1496" "1033" 87 "31" 13.9
"1497" "1033" 90 "31" 13
"1498" "1033" 93 "31" 19.1
"1499" "1033" 100 "31" 15.2
"1500" "1033" 104 "31" 14.3
"1501" "1033" 107 "31" 17.1
"1502" "1033" 110 "31" 17
"1503" "1033" 114 "31" 18.1
"1504" "1033" 117 "31" 17.9
"1505" "1033" 121 "31" 17.6
"1506" "1033" 124 "31" 18.4
"1507" "1033" 128 "31" 18.8
"1508" "1033" 131 "31" 18.8
"1509" "1033" 135 "31" 18.7
"1510" "1033" 138 "31" 19.4
"1511" "1033" 142 "31" 18.2
"1512" "1033" 145 "31" 16.6
"1513" "1033" 149 "31" 18
"1514" "1033" 152 "31" 17
"1515" "1033" 156 "31" 18.1
"1516" "1033" 159 "31" 16.2
"1517" "1033" 163 "31" 14.1
"1518" "1033" 167 "31" 21.6
"1519" "1033" 170 "31" 18.1
"1520" "1033" 173 "31" 16.2
"1521" "1033" 177 "31" 18.1
"1522" "1033" 180 "31" 19.8
"1523" "1033" 184 "31" 19.4
"1524" "1033" 187 "31" 19.2
"1525" "1033" 191 "31" 19.2
"1526" "1033" 194 "31" 16
"1527" "1033" 198 "31" 18
"1528" "1033" 202 "31" 19.1
"1529" "1033" 205 "31" 15.6
"1530" "1033" 208 "31" 16.1
"1531" "1033" 212 "31" 17
"1532" "1033" 215 "31" 17.7
"1533" "1033" 219 "31" 16.3
"1534" "1033" 222 "31" 18.6
"1535" "1033" 226 "31" 16.5
"1536" "1033" 229 "31" 16.2
"1537" "1033" 233 "31" 16.8
"1538" "1033" 236 "31" 17.2
"1539" "1033" 241 "31" 16.6
"1540" "1033" 243 "31" 6.5
"1541" "1033" 248 "31" 9
"1542" "1033" 254 "31" 7.3
"1543" "1033" 257 "31" 10.4
"1544" "1033" 261 "31" 12
"1545" "1033" 265 "31" 12.6
"1546" "1033" 268 "31" 15.4
"1547" "1033" 272 "31" 11.1
"1548" "1033" 275 "31" 13.7
"1549" "1033" 279 "31" 14.1
"1550" "1033" 283 "31" 10.4
"1551" "1033" 286 "31" 12.3
"1552" "1033" 289 "31" 13.8
"1553" "1033" 292 "31" 13.2
"1554" "1033" 297 "31" 15.4
"1555" "1033" 300 "31" 13.4
"1556" "1033" 303 "31" 11.4
"1557" "1033" 307 "31" 14.2
"1558" "1033" 311 "31" 14
"1559" "1033" 313 "31" 13.6
"1560" "1033" 318 "31" 15.3
"1561" "1033" 321 "31" 13.3
"1562" "1033" 325 "31" 15.2
"1563" "1033" 327 "31" 13.1
"1564" "1033" 331 "31" 13.9
"1565" "1033" 334 "31" 14.3
"1566" "1033" 339 "31" 16.1
"1567" "1033" 342 "31" 15.3
"1568" "1033" 345 "31" 14.8
"1569" "1033" 348 "31" 14.4
"1570" "1033" 353 "31" 13.7
"1571" "1033" 356 "31" 13.2
"1572" "1033" 360 "31" 14.5
"1573" "1033" 363 "31" 12.5
"1574" "1033" 367 "31" 14.3
"1575" "1033" 369 "31" 15.1
"1576" "1033" 374 "31" 12
"1577" "1033" 379 "31" 11.1
"1578" "1033" 381 "31" 9
"1579" "1033" 384 "31" 10.5
"1580" "1033" 388 "31" 12
"1581" "1033" 391 "31" 8.9
"1582" "1033" 395 "31" 12
"1583" "1033" 398 "31" 9.8
"1584" "1033" 402 "31" 7.7
"1585" "1033" 405 "31" 8.2
"1586" "1033" 409 "31" 8.7
"1587" "1033" 412 "31" 7.4
"1588" "1033" 416 "31" 7.5
"1589" "1033" 419 "31" 9.9
"1590" "1033" 423 "31" 7.9
"1591" "1033" 426 "31" 8.8
"1592" "1033" 430 "31" 8.9
"1593" "1033" 433 "31" 7.8
"1594" "1033" 437 "31" 6.5
"1595" "1033" 440 "31" 6.5
"1596" "1033" 444 "31" 8.3
"1597" "1033" 447 "31" 8.5
"1598" "1033" 30 "31" 13.5
"1599" "1034" 7 "32" 24.7
"1600" "1034" 10 "32" 27
"1601" "1034" 13 "32" 29.9
"1602" "1034" 17 "32" 29.9
"1603" "1034" 20 "32" 30.4
"1604" "1034" 25 "32" 28.3
"1605" "1034" 27 "32" 27.8
"1606" "1034" 31 "32" 27.2
"1607" "1034" 38 "32" 25.5
"1608" "1034" 41 "32" 25.8
"1609" "1034" 45 "32" 22.9
"1610" "1034" 48 "32" 24.1
"1611" "1034" 52 "32" 22.3
"1612" "1034" 55 "32" 21.4
"1613" "1034" 59 "32" 22.1
"1614" "1034" 62 "32" 22.5
"1615" "1034" 67 "32" 24
"1616" "1034" 69 "32" 20.8
"1617" "1034" 73 "32" 20.9
"1618" "1034" 76 "32" 22.2
"1619" "1034" 80 "32" 23.7
"1620" "1034" 83 "32" 17.9
"1621" "1034" 89 "32" 20.5
"1622" "1034" 90 "32" 19.31
"1623" "1034" 94 "32" 19.4
"1624" "1034" 102 "32" 21.8
"1625" "1034" 104 "32" 19.8
